[2026-07-10T15:17:11.427Z] GET http://localhost:8080/ → 200 (6ms, 27098B)
[2026-07-10T15:22:57.370Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (2ms, 47B)
[2026-07-10T15:22:57.373Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (1ms, -764B)
[2026-07-10T15:23:06.525Z] GET http://localhost:8080/ → 200 (3ms, 27098B)
[2026-07-10T15:23:06.550Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-07-10T15:23:06.550Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (?ms, 47B)
[2026-07-10T15:23:06.552Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (13ms, -764B)
[2026-07-10T15:23:19.348Z] GET http://localhost:8080/ → 200 (2ms, 27098B)
[2026-07-10T15:23:19.359Z] GET https://cdn.tailwindcss.com/ → 200 (11ms, -756B)
[2026-07-10T15:23:19.374Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (?ms, 47B)
[2026-07-10T15:23:19.374Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (23ms, -764B)
[2026-07-10T15:24:20.183Z] GET http://localhost:8080/ → 200 (3ms, 27250B)
[2026-07-10T15:24:20.204Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-07-10T15:24:20.205Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (13ms, 47B)
[2026-07-10T15:24:20.218Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (1ms, -764B)
[2026-07-10T15:24:43.739Z] GET http://localhost:8080/ → 200 (3ms, 27250B)
[2026-07-10T15:24:43.757Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-07-10T15:24:43.757Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (?ms, 47B)
[2026-07-10T15:24:43.757Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (11ms, -764B)
